cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frVcre81K8,like there shouldn’t be any controversy behind this movie at all.,1 bulan yang lalu,danielle meikle,UCDqp0Vb_1TOegRtrdINyG3w,392,https://yt3.ggpht.com/ytc/AMLnZu-7AMarQhDQjVvJ5qfqsPzHepax0pgXfwkRY1o5=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.403931
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frVifFBbIc," @JOHN Dickson  wow, that’s horrible",1 bulan yang lalu,"blackpink, nwjns, & le ssrfm best groups",UC8ovfUP6UImwsGEkn8QxT7A,6,https://yt3.ggpht.com/MjVPn9BPquWhL-E_I68vyGWpNKOK-0rbvX3wBsIgkYNN6j8vOz1qUvrqk8RFqcakcqTb7KFi3DM=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.406363
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frW2jomaXH,"Big round of applause to the second paragraph!!! I couldn't agree more with you. If Disney (and by all means other companies) truly cared about the poc, they would come up with new & inspiring character and story for them, not just putting them in existing franchises just to say that ""hey, look, we support them!"" By doing this, Disney is actually the biggest r@cist cuz they have no faith that poc original work can make money and trick people to spend money out of pure nostalgia as you said.",1 bulan yang lalu,Lewis Catlord,UCDPklhrMXNtCLcWy4Okcr5w,576,https://yt3.ggpht.com/ytc/AMLnZu9dwc9fxAIasigkh7LDPK7h6pwOKsDRhu_ZpU9HFQ=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.408676
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frWGEAyalf, @Lewis Catlord  Y’all don’t even care about poc and wanna preach to Disney caring about us?? Y’all are so weird trying to sound all sweet now. Look at the comments in this video it’s disgusting.,1 bulan yang lalu,𝐼𝑡 𝐺𝑖𝑟𝑙,UC0jyjZffyXH3zMlJcGyyKlg,383,https://yt3.ggpht.com/cBTpPb4aEGiUShGGshggiAMn4UL0KiPc-AOJ10SLKmTwPDH0BTO-AfQ0SxsX49dsI8fdhC_-HQ=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.410989
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frWR0nrNKR," @Lewis Catlord  Rob Marshall casted her not because of her skin color. From day 1 everyone has said it’s because of her skin color she got picked, but Rob stated that she was the only who embodied the SPIRIT of Ariel and when you watch the movie you’ll see what he’s talking about.

He never mentions anything about her race or color.",1 bulan yang lalu,𝐼𝑡 𝐺𝑖𝑟𝑙,UC0jyjZffyXH3zMlJcGyyKlg,485,https://yt3.ggpht.com/cBTpPb4aEGiUShGGshggiAMn4UL0KiPc-AOJ10SLKmTwPDH0BTO-AfQ0SxsX49dsI8fdhC_-HQ=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.413229
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frWTxoUNQO,Thanks for ur explanation. But I understood the sarcasm of the comments. Are hilarious 🤣,1 bulan yang lalu,Mike Espejo,UCje_iN15xyH-A4cLURW1ykA,45,https://yt3.ggpht.com/Pis0gtTZebHcM5a0YhDei5DAec-3-LaHlIpgB4HiAwo7HErfiK0N6pwmJv6SR6yDPWnoZrnOxg=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.415462
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frWlp8X9Uw,Thanks for clearing this up,1 bulan yang lalu,Keysnlemons !,UCfZ02FELthFN93VYow89VjQ,16,https://yt3.ggpht.com/67KqpW1ty3gKU9gB3fPTZTiOAMgAR7N_C0JLwR77Ij7uN0ACgjbLDBRi6RwdIq2I3JUNBRzEXFQ=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.417593
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frWoyBwQkO, @Zion'sWaters  words are pointless…. Action speak louder than words….,1 bulan yang lalu,dill dirk,UCNRZBcYTjXaXz1fBPLj1P8w,22,https://yt3.ggpht.com/ytc/AMLnZu-EcAzFZM_O5qJuQkoxVyM6a4b8XBwoTCpHew=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.419643
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frWy3Dcstf,Sounds like a bunch of crybabies to me.,1 bulan yang lalu,Campbell BLK,UCauuOnymYI0HFd2BfZ47y-Q,184,https://yt3.ggpht.com/ytc/AMLnZu8QD8RYmASBn0TsezqiQ3ftSUs-k7B_CAk5F02qUg=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.42179
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frX8WDmceq,Can somebody pin this comment dang,1 bulan yang lalu,MissAllieSan,UC0SB7WeTjGLcuevF7OM2BCg,60,https://yt3.ggpht.com/l19pvn1HgJXu4IMSqjA4D02_PDitPOYDgyCjN67A69olE0iVi4LKUbjm665MeucCGg4CGxqfsg=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.423885
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frXBceTQdg,why are they mocking/protesting though? the teaser makes me looking forward to the movie,1 bulan yang lalu,Keziah,UCYOxV6a3SmoCOyND6VZDw2A,292,https://yt3.ggpht.com/ytc/AMLnZu92UF-4jsZ19-ZD9u3_pGNwlPgCA8EWin9HBflNiw=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.425939
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frXZuQ_FcS, @Keziah  cause they obviously don’t like it…duh,1 bulan yang lalu,Zoe ZooBearBiotch,UCfnO3UmqbfUeHu27j9KzyGQ,98,https://yt3.ggpht.com/ytc/AMLnZu8T-URWYItPgo7AmdhpusWOrZ0npugOtoinAg=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.427992
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frXz3-XHQv, @KMS BISMARCK  EXACTLY!!!!!!,1 bulan yang lalu,Duckybooboo,UCYkphawFfzqHsKwC_-3eI9w,2,https://yt3.ggpht.com/Tumd_8YORK7-X_WnKQvGRloFkQbqczLJACbVxqOz9n1A0VP1MqvTW5DZVjei-m4T2b4LDzc=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.429994
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frY0n21zqJ, @Zoe ZooBearBiotch  well yes but why?,1 bulan yang lalu,Keziah,UCYOxV6a3SmoCOyND6VZDw2A,64,https://yt3.ggpht.com/ytc/AMLnZu92UF-4jsZ19-ZD9u3_pGNwlPgCA8EWin9HBflNiw=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.432035
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frY5ytKZ6r,Thank you for saying this 🙏,1 bulan yang lalu,Mallory,UCXLXAvR2uCJ4YXWeQGezZ4Q,7,https://yt3.ggpht.com/ytc/AMLnZu9aRtjIhxhp4r6tULELyPTdoCWiSaLgyjEMZytx=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.434024
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frY8Zx9UU1,"They are coping with their fear of being replaced by making fun of the movie cause it keeps them a sense of control over the situation 🙄 just let them do their thing, its at least better than a bunch of fear fueled racist comments.",1 bulan yang lalu,Eveniftheydo77,UCg12oeRVqAyhemDg3ZSqzKw,287,https://yt3.ggpht.com/ytc/AMLnZu8PDJ7Ab0UO7dwk4YJ2SomwUXWyfi3YClDay0OEwTMbFyZ9gEzgTEwfAf_gIyoh=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.436
